commessa       macchina       inizio_setup             inizio_lavorazione    
----------------------------------------------------   ----------------------
252978         BIMEC 3        08-07-2025 12:00:00      08-07-2025 12:17:00   
245623         BIMEC 3        08-07-2025 12:40:18      08-07-2025 13:12:18   
251849         BIMEC 3        09-07-2025 08:52:27      09-07-2025 09:28:27   
251231         BIMEC 3        09-07-2025 10:01:50      09-07-2025 10:18:50   
252456         BIMEC 3        10-07-2025 07:31:09      10-07-2025 07:48:09   
252277         BIMEC 3        10-07-2025 10:12:36      10-07-2025 10:31:36   
252665         BIMEC 3        10-07-2025 12:56:32      10-07-2025 13:13:32   
252656         BIMEC 3        10-07-2025 14:02:24      10-07-2025 14:19:24   
252371         BIMEC 4        08-07-2025 12:00:00      08-07-2025 12:29:00   
252686         BIMEC 4        08-07-2025 13:19:02      08-07-2025 14:01:02   
252245         BIMEC 4        09-07-2025 11:30:11      09-07-2025 11:57:11   
252476         BIMEC 4        10-07-2025 12:06:57      10-07-2025 12:48:57   
252220         BIMEC 4        10-07-2025 14:01:17      10-07-2025 14:28:17   
244023         BIMEC 4        11-07-2025 07:48:48      11-07-2025 08:17:48   
252336         BIMEC 4        11-07-2025 08:26:07      11-07-2025 08:53:07   
252467         BIMEC 4        11-07-2025 10:53:23      11-07-2025 11:18:23   
252790         BIMEC 4        11-07-2025 12:39:33      11-07-2025 13:04:33   
252207         BIMEC 5        08-07-2025 12:00:00      08-07-2025 12:17:00   
252723         BIMEC 5        08-07-2025 13:08:33      08-07-2025 13:23:33   
250383         BIMEC 5        09-07-2025 07:57:30      09-07-2025 08:16:30   
252369         BIMEC 5        09-07-2025 08:41:26      09-07-2025 09:04:26   
252378         BIMEC 5        09-07-2025 09:23:38      09-07-2025 09:46:38   
252362         BIMEC 5        09-07-2025 10:24:11      09-07-2025 10:39:11   
243526         BIMEC 5        09-07-2025 11:19:08      09-07-2025 11:38:08   
243535         BIMEC 5        09-07-2025 12:44:45      09-07-2025 12:59:45   
243569         BIMEC 5        09-07-2025 14:06:22      09-07-2025 14:25:22   
252680         BIMEC 5        09-07-2025 14:47:03      10-07-2025 07:04:03   
251812         BIMEC 5        10-07-2025 11:18:45      10-07-2025 11:35:45   
235572         BIMEC 5        10-07-2025 12:09:37      10-07-2025 12:43:37   
252364         BIMEC 5        10-07-2025 14:06:36      10-07-2025 14:23:36   
252547         BIMEC 5        11-07-2025 08:20:05      11-07-2025 08:37:05   
251926         BIMEC 5        11-07-2025 09:58:15      11-07-2025 10:15:15   
251495         BIMEC 5        11-07-2025 11:34:10      11-07-2025 11:51:10   
250284         CASON          08-07-2025 12:00:00      08-07-2025 12:40:30   
252085         CASON          09-07-2025 07:06:51      09-07-2025 07:45:21   
252087         CASON          09-07-2025 08:13:54      09-07-2025 08:46:24   
251685         CASON          09-07-2025 09:21:54      09-07-2025 09:58:24   
252785         CASON          09-07-2025 11:37:09      09-07-2025 12:17:39   
252784         CASON          09-07-2025 13:16:00      09-07-2025 13:46:30   
252638         CASON          09-07-2025 14:13:28      09-07-2025 14:45:58   
252549         CASON          10-07-2025 07:47:28      10-07-2025 08:21:58   
252783         CASON          10-07-2025 09:54:33      10-07-2025 10:31:03   
252662         CASON          10-07-2025 10:43:00      10-07-2025 11:21:30   
252598         CASON          10-07-2025 14:31:22      11-07-2025 07:01:52   
252414         CASON          11-07-2025 09:31:30      11-07-2025 10:12:00   
252755         CASON          11-07-2025 11:29:09      11-07-2025 12:05:39   
252201         H7             08-07-2025 12:00:00      08-07-2025 13:25:00   
251919         R12            08-07-2025 12:00:00      08-07-2025 12:34:00   
252209         R12            08-07-2025 14:54:03      09-07-2025 07:28:03   
252210         R12            09-07-2025 07:57:14      09-07-2025 08:12:14   
251790         R12            09-07-2025 08:41:26      09-07-2025 09:00:26   
243536         R12            09-07-2025 12:55:30      09-07-2025 13:10:30   
243527         R12            09-07-2025 14:17:07      09-07-2025 14:32:07   
243523         R12            10-07-2025 07:38:44      10-07-2025 07:53:44   
252814         R12            10-07-2025 09:00:21      10-07-2025 09:17:21   
252890         R12            10-07-2025 10:07:26      10-07-2025 10:24:26   
245089         R12            10-07-2025 11:16:08      10-07-2025 11:33:08   
252519         R12            14-07-2025 12:35:20      14-07-2025 12:52:20   
252713         R5             08-07-2025 12:00:00      08-07-2025 12:40:00   
252298         R9             08-07-2025 12:00:00      08-07-2025 12:45:00   
252999         R9             08-07-2025 13:55:46      08-07-2025 14:45:46   
252495         R9             09-07-2025 12:11:36      09-07-2025 12:51:36   
252473         R9             09-07-2025 14:02:23      09-07-2025 14:42:23   
252426         R9             10-07-2025 09:52:15      10-07-2025 10:17:15   
252350         R9             10-07-2025 13:21:32      10-07-2025 13:46:32   
252157         R9             10-07-2025 14:38:25      11-07-2025 07:38:25   
252334         R9             11-07-2025 14:15:14      14-07-2025 07:00:14   
252470         R9             15-07-2025 07:06:50      15-07-2025 07:36:50   
252576         R9             15-07-2025 08:39:20      15-07-2025 09:14:20   
252779         R9             16-07-2025 07:28:24      16-07-2025 07:53:24   
252899         R9             16-07-2025 10:57:41      16-07-2025 11:27:41   
252778         R9             16-07-2025 14:28:15      16-07-2025 14:58:15   
252517         BIMEC 3        17-07-2025 14:00:00      17-07-2025 14:32:00   
252507         H7             11-07-2025 14:00:00      14-07-2025 07:10:00   
252511         H7             14-07-2025 08:52:53      14-07-2025 09:17:53   
