commessa       macchina       inizio_setup             inizio_lavorazione    
----------------------------------------------------   ----------------------
252827         BIMEC 3        08-09-2025 07:00:00      08-09-2025 07:19:00   
253140         BIMEC 3        08-09-2025 14:09:00      08-09-2025 14:26:00   
253246         BIMEC 3        09-09-2025 07:21:50      09-09-2025 07:53:50   
253372         BIMEC 3        09-09-2025 11:08:05      09-09-2025 11:27:05   
253375         BIMEC 3        09-09-2025 13:10:51      09-09-2025 13:25:51   
253361         BIMEC 3        09-09-2025 14:17:44      09-09-2025 14:32:44   
253268         BIMEC 3        10-09-2025 07:49:27      10-09-2025 08:08:27   
253271         BIMEC 3        10-09-2025 09:27:00      10-09-2025 09:46:00   
253267         BIMEC 3        10-09-2025 10:28:38      10-09-2025 10:47:38   
253524         BIMEC 3        10-09-2025 13:32:00      10-09-2025 13:49:00   
253260         BIMEC 3        10-09-2025 14:47:46      11-09-2025 07:04:46   
253317         BIMEC 4        08-09-2025 07:00:00      08-09-2025 07:29:00   
253249         BIMEC 4        08-09-2025 09:11:46      08-09-2025 09:36:46   
252906         BIMEC 4        08-09-2025 10:34:32      08-09-2025 11:01:32   
252274         BIMEC 4        08-09-2025 11:36:15      08-09-2025 12:03:15   
253374         BIMEC 4        08-09-2025 14:56:40      09-09-2025 07:38:40   
252843         BIMEC 4        09-09-2025 08:38:17      09-09-2025 09:28:17   
252815         BIMEC 4        09-09-2025 09:47:29      09-09-2025 10:14:29   
253706         BIMEC 4        09-09-2025 14:17:25      09-09-2025 14:56:25   
252995         BIMEC 4        10-09-2025 12:07:25      10-09-2025 12:42:25   
253368         BIMEC 4        10-09-2025 13:50:44      10-09-2025 14:32:44   
253370         BIMEC 4        11-09-2025 08:16:31      11-09-2025 08:41:31   
253377         BIMEC 4        11-09-2025 12:09:03      11-09-2025 12:34:03   
253376         BIMEC 4        11-09-2025 14:41:46      12-09-2025 07:06:46   
253371         BIMEC 4        12-09-2025 10:06:23      12-09-2025 10:31:23   
253367         BIMEC 4        12-09-2025 12:19:09      12-09-2025 12:44:09   
253721         BIMEC 4        12-09-2025 14:59:51      15-09-2025 07:26:51   
252397         BIMEC 4        15-09-2025 08:06:14      15-09-2025 08:48:14   
253525         BIMEC 4        15-09-2025 10:44:10      15-09-2025 11:28:10   
253244         BIMEC 4        15-09-2025 13:00:18      15-09-2025 13:29:18   
252529         BIMEC 4        16-09-2025 08:15:48      16-09-2025 08:57:48   
252741         BIMEC 4        16-09-2025 10:05:53      16-09-2025 10:49:53   
244743         BIMEC 4        16-09-2025 11:51:23      16-09-2025 12:20:23   
253314         BIMEC 5        05-09-2025 07:00:00      05-09-2025 07:32:00   
253591         BIMEC 5        05-09-2025 08:15:24      05-09-2025 08:32:24   
252685         BIMEC 5        05-09-2025 08:49:49      05-09-2025 09:06:49   
253527         BIMEC 5        05-09-2025 10:21:23      05-09-2025 10:53:23   
253259         BIMEC 5        05-09-2025 12:00:52      05-09-2025 12:17:52   
253016         BIMEC 5        05-09-2025 13:27:06      05-09-2025 13:59:06   
252569         BIMEC 5        08-09-2025 07:12:29      08-09-2025 07:44:29   
243569         BIMEC 5        08-09-2025 07:54:04      08-09-2025 08:13:04   
253313         BIMEC 5        08-09-2025 08:34:45      08-09-2025 08:51:45   
253425         BIMEC 5        08-09-2025 10:31:45      08-09-2025 10:48:45   
253659         BIMEC 5        08-09-2025 13:15:06      08-09-2025 13:53:06   
244023         BIMEC 5        09-09-2025 11:16:51      09-09-2025 11:33:51   
252833         BIMEC 5        09-09-2025 11:42:10      09-09-2025 12:03:10   
250891         BIMEC 5        09-09-2025 13:17:57      09-09-2025 13:36:57   
250284         BIMEC 5        09-09-2025 14:54:26      10-09-2025 07:15:26   
253455         CASON          09-09-2025 07:00:00      09-09-2025 07:36:30   
252601         CASON          09-09-2025 08:32:03      09-09-2025 09:22:33   
253208         CASON          09-09-2025 10:13:46      09-09-2025 10:46:16   
253210         CASON          09-09-2025 12:30:31      09-09-2025 13:01:01   
253295         CASON          09-09-2025 14:35:11      10-09-2025 07:21:41   
253245         CASON          10-09-2025 11:11:45      10-09-2025 11:44:15   
253332         CASON          10-09-2025 14:15:05      10-09-2025 14:49:35   
253668         CASON          11-09-2025 09:54:25      11-09-2025 10:24:55   
253522         CASON          11-09-2025 13:34:47      11-09-2025 14:07:17   
253528         CASON          12-09-2025 09:25:54      12-09-2025 09:56:24   
253392         CASON          12-09-2025 11:55:35      12-09-2025 12:30:05   
253393         CASON          12-09-2025 14:39:28      15-09-2025 07:09:58   
253472         CASON          15-09-2025 08:27:36      15-09-2025 09:02:06   
253549         CASON          15-09-2025 13:53:54      15-09-2025 14:26:24   
235572         CASON          16-09-2025 09:10:04      16-09-2025 09:42:34   
253436         CASON          16-09-2025 11:05:33      16-09-2025 11:38:03   
253261         CASON          16-09-2025 11:56:54      16-09-2025 12:27:24   
253318         H7             04-09-2025 12:00:00      04-09-2025 12:50:00   
252582         H7             04-09-2025 13:41:33      04-09-2025 14:16:33   
253284         H7             05-09-2025 07:02:38      05-09-2025 07:32:38   
252679         H7             05-09-2025 08:29:37      05-09-2025 08:59:37   
252682         H7             05-09-2025 09:59:37      05-09-2025 10:29:37   
253409         H7             05-09-2025 11:53:02      05-09-2025 12:23:02   
252002         H7             05-09-2025 12:50:13      05-09-2025 13:30:13   
253687         H7             05-09-2025 14:25:53      05-09-2025 14:55:53   
253686         H7             08-09-2025 07:40:07      08-09-2025 08:05:07   
253710         H7             08-09-2025 08:49:21      08-09-2025 09:24:21   
253359         H7             08-09-2025 09:25:58      08-09-2025 10:00:58   
252883         H7             08-09-2025 12:14:59      08-09-2025 13:24:59   
253223         H7             09-09-2025 09:32:18      09-09-2025 10:02:18   
252216         H7             09-09-2025 10:18:42      09-09-2025 10:58:42   
253247         H7             09-09-2025 13:20:30      09-09-2025 14:15:30   
253401         H7             10-09-2025 08:05:05      10-09-2025 08:35:05   
253602         H7             10-09-2025 08:57:54      10-09-2025 09:42:54   
253194         R12            08-09-2025 07:00:00      08-09-2025 07:19:00   
253036         R5             09-09-2025 07:00:00      09-09-2025 07:35:00   
252702         R9             05-09-2025 07:00:00      05-09-2025 07:35:00   
253362         R9             05-09-2025 08:33:23      05-09-2025 08:58:23   
253278         R9             05-09-2025 09:56:46      05-09-2025 10:41:46   
253072         R9             05-09-2025 11:10:11      05-09-2025 11:35:11   
253100         R9             05-09-2025 12:04:19      05-09-2025 12:39:19   
252939         R9             05-09-2025 13:26:40      05-09-2025 13:56:40   
252664         R9             08-09-2025 07:26:28      08-09-2025 07:56:28   
253095         R9             08-09-2025 14:02:27      08-09-2025 14:27:27   
252980         T3             08-09-2025 07:00:00      08-09-2025 07:00:00   
