commessa       macchina       inizio_setup             inizio_lavorazione    
----------------------------------------------------   ----------------------
252569         BIMEC 3        08-09-2025 07:00:00      08-09-2025 07:17:00   
243569         BIMEC 3        08-09-2025 07:26:35      08-09-2025 07:45:35   
252906         BIMEC 3        08-09-2025 08:07:15      08-09-2025 08:24:15   
252843         BIMEC 3        08-09-2025 08:58:59      08-09-2025 09:23:59   
253313         BIMEC 3        08-09-2025 09:43:11      08-09-2025 10:08:11   
253706         BIMEC 3        08-09-2025 11:48:11      08-09-2025 12:11:11   
253095         BIMEC 3        09-09-2025 09:22:11      09-09-2025 10:04:11   
253284         BIMEC 4        08-09-2025 07:00:00      08-09-2025 07:27:00   
253140         BIMEC 4        08-09-2025 08:23:59      08-09-2025 08:50:59   
252827         BIMEC 4        08-09-2025 09:46:49      08-09-2025 10:13:49   
253361         BIMEC 4        09-09-2025 09:03:49      09-09-2025 09:45:49   
250891         BIMEC 4        09-09-2025 11:02:32      09-09-2025 11:33:32   
253100         BIMEC 4        09-09-2025 12:51:01      09-09-2025 13:18:01   
244023         BIMEC 4        09-09-2025 14:05:22      09-09-2025 14:34:22   
253591         BIMEC 5        05-09-2025 07:00:00      05-09-2025 07:34:00   
253194         BIMEC 5        05-09-2025 07:51:25      05-09-2025 08:10:25   
253409         BIMEC 5        05-09-2025 11:29:30      05-09-2025 11:44:30   
252664         BIMEC 5        05-09-2025 12:11:41      05-09-2025 12:43:41   
252939         BIMEC 5        08-09-2025 10:49:39      08-09-2025 11:06:39   
252833         BIMEC 5        08-09-2025 12:36:27      08-09-2025 12:55:27   
253246         BIMEC 5        08-09-2025 14:10:14      08-09-2025 14:27:14   
252216         BIMEC 5        09-09-2025 09:41:29      09-09-2025 10:08:29   
253710         BIMEC 5        09-09-2025 12:30:18      09-09-2025 12:59:18   
252815         BIMEC 5        09-09-2025 13:00:55      09-09-2025 13:40:55   
253260         BIMEC 5        10-09-2025 09:43:51      10-09-2025 10:21:51   
253527         BIMEC 5        10-09-2025 12:11:16      10-09-2025 12:28:16   
253524         BIMEC 5        10-09-2025 13:35:45      10-09-2025 13:50:45   
253375         BIMEC 5        10-09-2025 14:49:30      11-09-2025 07:06:30   
253372         BIMEC 5        11-09-2025 07:58:23      11-09-2025 08:13:23   
253332         BIMEC 5        11-09-2025 09:57:10      11-09-2025 10:14:10   
253370         BIMEC 5        11-09-2025 13:18:59      11-09-2025 13:35:59   
253368         BIMEC 5        12-09-2025 09:03:32      12-09-2025 09:18:32   
253374         CASON          09-09-2025 07:00:00      09-09-2025 07:36:30   
252682         H7             04-09-2025 12:00:00      04-09-2025 12:55:00   
252679         H7             04-09-2025 14:18:24      04-09-2025 14:48:24   
252685         H7             05-09-2025 07:48:24      05-09-2025 08:18:24   
252582         H7             05-09-2025 09:32:58      05-09-2025 10:02:58   
253314         H7             05-09-2025 10:49:03      05-09-2025 11:19:03   
253317         H7             05-09-2025 12:02:28      05-09-2025 12:32:28   
253425         H7             05-09-2025 14:15:14      05-09-2025 14:50:14   
253036         H7             08-09-2025 09:16:35      08-09-2025 09:51:35   
252002         H7             08-09-2025 11:10:19      08-09-2025 11:50:19   
252883         H7             08-09-2025 12:46:00      08-09-2025 13:51:00   
253208         H7             09-09-2025 09:58:18      09-09-2025 10:28:18   
253210         H7             09-09-2025 12:12:34      09-09-2025 12:37:34   
252601         H7             09-09-2025 14:11:43      09-09-2025 14:41:43   
253223         H7             10-09-2025 07:32:56      10-09-2025 08:02:56   
235572         H7             10-09-2025 08:19:20      10-09-2025 09:24:20   
253245         H7             10-09-2025 10:47:19      10-09-2025 11:17:19   
253401         H7             10-09-2025 13:48:09      10-09-2025 14:18:09   
253249         R12            08-09-2025 07:00:00      08-09-2025 07:19:00   
253318         R12            08-09-2025 08:16:45      08-09-2025 08:31:45   
253686         R5             09-09-2025 07:00:00      09-09-2025 07:40:00   
253687         R5             09-09-2025 08:24:14      09-09-2025 08:49:14   
253659         R5             09-09-2025 09:33:28      09-09-2025 09:58:28   
253247         R5             10-09-2025 07:22:13      10-09-2025 07:52:13   
253721         R5             10-09-2025 09:41:47      10-09-2025 10:11:47   
253602         R5             10-09-2025 10:51:11      10-09-2025 11:31:11   
253016         R9             05-09-2025 07:00:00      05-09-2025 07:30:00   
252702         R9             05-09-2025 08:43:23      05-09-2025 09:13:23   
253362         R9             05-09-2025 10:11:46      05-09-2025 10:36:46   
252995         R9             05-09-2025 11:35:09      05-09-2025 12:15:09   
253259         R9             05-09-2025 13:23:28      05-09-2025 13:58:28   
253268         R9             08-09-2025 07:07:42      08-09-2025 07:42:42   
253072         R9             08-09-2025 09:01:15      08-09-2025 09:36:15   
253278         R9             08-09-2025 10:05:23      08-09-2025 10:30:23   
253271         R9             08-09-2025 10:58:49      08-09-2025 11:23:49   
253267         R9             08-09-2025 12:06:27      08-09-2025 12:41:27   
253359         R9             09-09-2025 07:25:49      09-09-2025 07:55:49   
250284         R9             09-09-2025 10:09:50      09-09-2025 10:59:50   
252980         T3             08-09-2025 07:00:00      08-09-2025 07:00:00   
