commessa       macchina       inizio_setup             inizio_lavorazione    
----------------------------------------------------   ----------------------
243569         BIMEC 3        08-09-2025 07:00:00      08-09-2025 07:17:00   
252569         BIMEC 3        08-09-2025 07:38:40      08-09-2025 07:57:40   
253140         BIMEC 3        08-09-2025 08:07:15      08-09-2025 08:26:15   
252827         BIMEC 3        08-09-2025 09:22:05      08-09-2025 09:39:05   
250891         BIMEC 3        09-09-2025 08:29:05      09-09-2025 09:05:05   
252939         BIMEC 3        09-09-2025 10:22:35      09-09-2025 10:41:35   
252833         BIMEC 3        09-09-2025 12:11:23      09-09-2025 12:30:23   
252216         BIMEC 3        09-09-2025 13:45:10      09-09-2025 14:14:10   
253095         BIMEC 3        10-09-2025 08:35:58      10-09-2025 09:06:58   
252843         BIMEC 4        08-09-2025 07:00:00      08-09-2025 07:37:00   
244023         BIMEC 4        08-09-2025 07:56:12      08-09-2025 08:42:12   
253072         BIMEC 4        08-09-2025 08:50:30      08-09-2025 09:25:30   
250284         BIMEC 4        08-09-2025 09:54:38      08-09-2025 10:23:38   
253659         BIMEC 4        08-09-2025 12:49:59      08-09-2025 13:20:59   
253710         BIMEC 4        09-09-2025 10:44:44      09-09-2025 11:13:44   
253278         BIMEC 4        09-09-2025 11:15:21      09-09-2025 11:46:21   
235572         BIMEC 4        09-09-2025 12:14:47      09-09-2025 12:41:47   
253100         BIMEC 4        09-09-2025 14:04:46      09-09-2025 14:31:46   
253246         BIMEC 4        10-09-2025 07:19:07      10-09-2025 07:44:07   
253271         BIMEC 4        10-09-2025 10:58:22      10-09-2025 11:27:22   
253425         BIMEC 5        05-09-2025 07:00:00      05-09-2025 07:34:00   
253317         BIMEC 5        05-09-2025 10:00:21      05-09-2025 10:19:21   
253374         BIMEC 5        05-09-2025 12:02:07      05-09-2025 12:34:07   
253268         BIMEC 5        05-09-2025 13:33:44      05-09-2025 13:54:44   
253267         BIMEC 5        08-09-2025 07:13:17      08-09-2025 07:28:17   
252906         BIMEC 5        08-09-2025 10:12:39      08-09-2025 10:48:39   
252995         BIMEC 5        08-09-2025 11:23:23      08-09-2025 11:40:23   
253259         BIMEC 5        08-09-2025 12:48:42      08-09-2025 13:20:42   
253527         BIMEC 5        08-09-2025 14:29:56      08-09-2025 14:46:56   
253524         BIMEC 5        09-09-2025 07:54:25      09-09-2025 08:09:25   
252664         BIMEC 5        09-09-2025 09:08:10      09-09-2025 09:25:10   
253359         BIMEC 5        10-09-2025 07:31:09      10-09-2025 07:48:09   
253401         BIMEC 5        10-09-2025 10:02:10      10-09-2025 10:21:10   
253247         BIMEC 5        10-09-2025 10:43:59      10-09-2025 11:00:59   
253245         BIMEC 5        10-09-2025 12:50:33      10-09-2025 13:11:33   
253436         BIMEC 5        11-09-2025 07:42:23      11-09-2025 08:01:23   
253721         CASON          09-09-2025 07:00:00      09-09-2025 07:34:30   
252002         H7             04-09-2025 12:00:00      04-09-2025 12:55:00   
253409         H7             04-09-2025 13:50:40      04-09-2025 14:30:40   
252883         H7             04-09-2025 14:57:51      05-09-2025 08:17:51   
252582         H7             05-09-2025 12:25:10      05-09-2025 13:45:10   
253314         H7             05-09-2025 14:31:15      08-09-2025 07:01:15   
253036         H7             08-09-2025 07:44:39      08-09-2025 08:14:39   
252685         H7             08-09-2025 09:33:23      08-09-2025 10:03:23   
253249         H7             08-09-2025 11:17:57      08-09-2025 11:47:57   
253208         H7             08-09-2025 12:45:43      08-09-2025 14:10:43   
253210         H7             09-09-2025 07:54:58      09-09-2025 08:19:58   
252601         H7             09-09-2025 09:54:08      09-09-2025 10:24:08   
253223         H7             09-09-2025 11:15:20      09-09-2025 11:45:20   
252682         H7             09-09-2025 12:01:44      09-09-2025 13:21:44   
253318         R12            08-09-2025 07:00:00      08-09-2025 07:19:00   
253284         R12            08-09-2025 08:10:33      08-09-2025 08:27:33   
253194         R12            08-09-2025 09:24:32      08-09-2025 09:41:32   
253313         R12            08-09-2025 13:00:37      08-09-2025 13:17:37   
252815         R12            08-09-2025 14:57:38      09-09-2025 07:20:38   
253706         R12            09-09-2025 11:23:34      09-09-2025 11:52:34   
253602         R12            10-09-2025 09:03:34      10-09-2025 09:24:34   
253260         R5             09-09-2025 07:00:00      09-09-2025 07:35:00   
253332         R5             09-09-2025 09:24:24      09-09-2025 09:59:24   
253372         R5             09-09-2025 13:04:14      09-09-2025 13:34:14   
253375         R5             10-09-2025 07:18:00      10-09-2025 07:43:00   
253361         R5             10-09-2025 08:34:53      10-09-2025 08:59:53   
253370         R5             10-09-2025 10:16:36      10-09-2025 10:41:36   
253376         R5             10-09-2025 14:09:08      10-09-2025 14:34:08   
253377         R5             11-09-2025 09:33:45      11-09-2025 09:58:45   
253368         R5             11-09-2025 12:06:28      11-09-2025 12:31:28   
253367         R5             11-09-2025 14:15:14      11-09-2025 14:40:14   
253261         R5             12-09-2025 08:55:56      12-09-2025 09:40:56   
252741         R5             12-09-2025 09:59:47      12-09-2025 10:29:47   
253455         R5             12-09-2025 11:31:17      12-09-2025 12:01:17   
252529         R5             12-09-2025 12:56:50      12-09-2025 13:31:50   
252274         R5             12-09-2025 14:39:55      15-09-2025 07:14:55   
253668         R5             15-09-2025 10:08:20      15-09-2025 10:53:20   
253525         R5             15-09-2025 14:03:12      15-09-2025 14:33:12   
253371         R5             16-09-2025 08:05:21      16-09-2025 08:30:21   
244743         R5             16-09-2025 10:18:07      16-09-2025 10:48:07   
253549         R5             16-09-2025 11:17:27      16-09-2025 11:57:27   
253295         R5             16-09-2025 14:41:07      17-09-2025 07:11:07   
253244         R5             17-09-2025 11:01:12      17-09-2025 11:31:12   
253472         R5             17-09-2025 14:17:42      17-09-2025 14:47:42   
253392         R5             18-09-2025 11:39:30      18-09-2025 12:14:30   
253393         R5             18-09-2025 14:23:53      18-09-2025 14:48:53   
253522         R5             19-09-2025 08:06:31      19-09-2025 08:41:31   
253528         R5             19-09-2025 12:00:08      19-09-2025 12:25:08   
252397         R5             19-09-2025 14:24:19      19-09-2025 14:59:19   
253016         R9             05-09-2025 07:00:00      05-09-2025 07:30:00   
253591         R9             05-09-2025 08:43:23      05-09-2025 09:18:23   
252679         R9             05-09-2025 09:35:48      05-09-2025 10:10:48   
253362         R9             05-09-2025 11:10:48      05-09-2025 11:50:48   
252702         R9             05-09-2025 12:49:11      05-09-2025 13:14:11   
253687         R9             05-09-2025 14:12:34      05-09-2025 14:52:34   
253686         R9             08-09-2025 07:36:48      08-09-2025 08:01:48   
252980         T3             08-09-2025 07:00:00      08-09-2025 07:00:00   
