commessa       macchina       inizio_setup             inizio_lavorazione    
----------------------------------------------------   ----------------------
252378         BIMEC 3        08-07-2025 12:00:00      08-07-2025 12:21:00   
252362         BIMEC 3        08-07-2025 12:58:33      08-07-2025 13:13:33   
251919         BIMEC 3        08-07-2025 13:53:30      08-07-2025 14:27:30   
251231         BIMEC 3        09-07-2025 08:47:33      09-07-2025 09:23:33   
252350         BIMEC 3        09-07-2025 14:35:52      09-07-2025 14:58:52   
251849         BIMEC 3        10-07-2025 07:50:45      10-07-2025 08:11:45   
252369         BIMEC 3        10-07-2025 08:45:08      10-07-2025 09:23:08   
235572         BIMEC 3        10-07-2025 09:42:20      10-07-2025 10:20:20   
252662         BIMEC 3        10-07-2025 11:43:19      10-07-2025 12:04:19   
252473         BIMEC 3        11-07-2025 07:14:11      11-07-2025 07:29:11   
252656         BIMEC 3        11-07-2025 10:39:03      11-07-2025 10:54:03   
251495         BIMEC 3        11-07-2025 14:03:55      11-07-2025 14:24:55   
252598         BIMEC 3        14-07-2025 07:37:15      14-07-2025 07:58:15   
252814         BIMEC 3        14-07-2025 10:27:53      14-07-2025 11:01:53   
252686         BIMEC 3        14-07-2025 11:51:58      14-07-2025 12:23:58   
243569         BIMEC 4        08-07-2025 12:00:00      08-07-2025 12:27:00   
243536         BIMEC 4        08-07-2025 12:48:40      08-07-2025 13:17:40   
252201         BIMEC 4        08-07-2025 14:24:17      08-07-2025 14:53:17   
252087         BIMEC 4        09-07-2025 07:27:24      09-07-2025 08:07:24   
252999         BIMEC 4        09-07-2025 08:42:54      09-07-2025 09:09:54   
252680         BIMEC 4        09-07-2025 14:35:44      10-07-2025 07:17:44   
252364         BIMEC 4        10-07-2025 11:32:26      10-07-2025 12:16:26   
252638         BIMEC 4        10-07-2025 14:12:55      10-07-2025 14:39:55   
252085         BIMEC 4        11-07-2025 07:41:25      11-07-2025 08:08:25   
252467         BIMEC 4        11-07-2025 08:36:58      11-07-2025 09:03:58   
252336         BIMEC 4        11-07-2025 10:25:08      11-07-2025 10:50:08   
252755         BIMEC 4        11-07-2025 12:50:24      11-07-2025 13:17:24   
252978         BIMEC 5        08-07-2025 12:00:00      08-07-2025 12:17:00   
252209         BIMEC 5        08-07-2025 12:40:18      08-07-2025 12:59:18   
252298         BIMEC 5        08-07-2025 13:28:29      08-07-2025 13:49:29   
244023         BIMEC 5        09-07-2025 07:00:15      09-07-2025 07:40:15   
252783         BIMEC 5        09-07-2025 07:48:34      09-07-2025 08:13:34   
252785         BIMEC 5        09-07-2025 08:25:31      09-07-2025 08:40:31   
252784         BIMEC 5        09-07-2025 09:38:51      09-07-2025 09:53:51   
252245         BIMEC 5        09-07-2025 10:20:50      09-07-2025 10:54:50   
252456         BIMEC 5        10-07-2025 11:04:35      10-07-2025 11:36:35   
252220         BIMEC 5        10-07-2025 14:01:03      10-07-2025 14:18:03   
252790         BIMEC 5        11-07-2025 07:38:34      11-07-2025 07:55:34   
252547         BIMEC 5        11-07-2025 08:07:40      11-07-2025 08:30:40   
252713         CASON          08-07-2025 12:00:00      08-07-2025 12:34:30   
251685         H7             08-07-2025 12:00:00      08-07-2025 13:00:00   
252207         H7             08-07-2025 14:38:45      09-07-2025 07:28:45   
252723         H7             09-07-2025 08:20:18      09-07-2025 08:45:18   
243527         H7             09-07-2025 11:19:16      09-07-2025 11:54:16   
252519         H7             09-07-2025 13:00:53      09-07-2025 13:35:53   
252476         H7             09-07-2025 13:47:21      09-07-2025 14:32:21   
252277         H7             10-07-2025 07:44:42      10-07-2025 08:19:42   
250383         R12            08-07-2025 12:00:00      08-07-2025 12:19:00   
252210         R12            08-07-2025 12:43:55      08-07-2025 13:02:55   
245623         R12            08-07-2025 13:32:07      08-07-2025 14:04:07   
251812         R12            09-07-2025 09:44:17      09-07-2025 10:16:17   
252890         R12            09-07-2025 10:50:09      09-07-2025 11:09:09   
252495         R12            09-07-2025 12:00:51      09-07-2025 12:17:51   
251926         R5             08-07-2025 12:00:00      08-07-2025 12:35:00   
252334         R5             08-07-2025 13:53:55      08-07-2025 14:23:55   
252157         R5             09-07-2025 14:30:30      10-07-2025 07:15:30   
245089         R5             10-07-2025 13:52:20      10-07-2025 14:47:20   
252414         R5             15-07-2025 07:49:32      15-07-2025 08:34:32   
252576         R5             15-07-2025 09:51:42      15-07-2025 10:41:42   
252779         R5             16-07-2025 08:55:46      16-07-2025 09:20:46   
252426         R5             16-07-2025 12:25:03      16-07-2025 12:50:03   
252778         R5             17-07-2025 07:54:20      17-07-2025 08:29:20   
252899         R5             17-07-2025 11:10:19      17-07-2025 11:40:19   
252470         R5             17-07-2025 14:40:53      18-07-2025 07:10:53   
252507         R5             18-07-2025 08:13:23      18-07-2025 09:08:23   
252511         R5             18-07-2025 10:51:16      18-07-2025 11:16:16   
252517         R5             18-07-2025 12:43:43      18-07-2025 13:33:43   
252665         R9             08-07-2025 12:00:00      08-07-2025 12:35:00   
243535         R9             08-07-2025 13:23:52      08-07-2025 13:58:52   
243523         R9             09-07-2025 07:05:29      09-07-2025 07:30:29   
243526         R9             09-07-2025 08:37:06      09-07-2025 09:02:06   
251790         R9             09-07-2025 10:08:43      09-07-2025 10:33:43   
252371         R9             09-07-2025 14:28:47      09-07-2025 14:58:47   
252549         R9             10-07-2025 07:48:49      10-07-2025 08:23:49   
250284         R9             10-07-2025 09:56:25      10-07-2025 10:46:25   
