commessa       macchina       inizio_setup             inizio_lavorazione    
----------------------------------------------------   ----------------------
254966         BIMEC 3        02-12-2025 07:00:00      02-12-2025 07:34:00   
254460         BIMEC 3        02-12-2025 08:35:23      02-12-2025 08:56:23   
254948         BIMEC 3        02-12-2025 09:43:04      02-12-2025 10:00:04   
255170         BIMEC 3        02-12-2025 11:19:28      02-12-2025 11:53:28   
254532         BIMEC 3        02-12-2025 12:01:48      02-12-2025 12:18:48   
254531         BIMEC 3        02-12-2025 13:42:09      02-12-2025 13:57:09   
254573         BIMEC 3        02-12-2025 14:41:18      03-12-2025 07:13:18   
254895         BIMEC 3        03-12-2025 07:59:41      03-12-2025 08:16:41   
244023         BIMEC 3        03-12-2025 09:10:34      03-12-2025 09:33:34   
254853         BIMEC 3        03-12-2025 09:41:53      03-12-2025 09:58:53   
254454         BIMEC 3        03-12-2025 10:51:52      03-12-2025 11:12:52   
254379         BIMEC 3        03-12-2025 12:02:51      03-12-2025 12:25:51   
254551         BIMEC 3        03-12-2025 13:57:27      03-12-2025 14:16:27   
254915         BIMEC 3        04-12-2025 09:26:19      04-12-2025 09:43:19   
254819         BIMEC 3        04-12-2025 10:32:11      04-12-2025 10:53:11   
254818         BIMEC 3        04-12-2025 11:47:44      04-12-2025 12:02:44   
254511         BIMEC 4        03-12-2025 07:00:00      03-12-2025 07:29:00   
254894         BIMEC 4        03-12-2025 09:38:35      03-12-2025 10:24:35   
254424         BIMEC 4        03-12-2025 12:12:21      03-12-2025 12:39:21   
254855         BIMEC 4        03-12-2025 12:50:19      03-12-2025 13:17:19   
254938         BIMEC 4        03-12-2025 14:04:04      03-12-2025 14:31:04   
254978         BIMEC 4        04-12-2025 08:01:39      04-12-2025 08:30:39   
254255         BIMEC 4        04-12-2025 08:53:28      04-12-2025 09:20:28   
254766         BIMEC 4        04-12-2025 10:03:56      04-12-2025 10:34:56   
254872         BIMEC 5        02-12-2025 07:00:00      02-12-2025 07:17:00   
254736         BIMEC 5        02-12-2025 07:58:17      02-12-2025 08:13:17   
254739         BIMEC 5        02-12-2025 10:43:44      02-12-2025 10:58:44   
251289         BIMEC 5        02-12-2025 12:31:23      02-12-2025 13:03:23   
254592         BIMEC 5        03-12-2025 07:44:25      03-12-2025 08:03:25   
254590         BIMEC 5        03-12-2025 09:03:17      03-12-2025 09:20:17   
254569         BIMEC 5        03-12-2025 10:06:58      03-12-2025 10:21:58   
254897         BIMEC 5        03-12-2025 11:01:43      03-12-2025 11:18:43   
235572         BIMEC 5        03-12-2025 11:49:41      03-12-2025 12:06:41   
254359         BIMEC 5        03-12-2025 13:29:40      03-12-2025 13:44:40   
254700         BIMEC 5        03-12-2025 14:07:52      03-12-2025 14:26:52   
254645         BIMEC 5        04-12-2025 07:58:35      04-12-2025 08:32:35   
254824         BIMEC 5        04-12-2025 09:30:57      04-12-2025 09:47:57   
254535         BIMEC 5        05-12-2025 14:16:11      05-12-2025 14:35:11   
254654         BIMEC 5        08-12-2025 07:01:13      08-12-2025 07:37:13   
254013         BIMEC 5        08-12-2025 08:57:44      08-12-2025 09:16:44   
254269         BIMEC 5        08-12-2025 12:19:44      08-12-2025 12:38:44   
255084         BIMEC 5        08-12-2025 13:26:00      08-12-2025 13:43:00   
254167         BIMEC 5        08-12-2025 14:30:39      08-12-2025 14:49:39   
254866         CASON          02-12-2025 07:00:00      02-12-2025 07:32:30   
255102         CASON          02-12-2025 09:33:22      02-12-2025 10:07:52   
254856         CASON          02-12-2025 12:30:25      02-12-2025 13:02:55   
254597         CASON          03-12-2025 07:24:46      03-12-2025 08:09:16   
254598         CASON          03-12-2025 09:41:07      03-12-2025 10:11:37   
254603         CASON          03-12-2025 11:55:53      03-12-2025 12:26:23   
255338         CASON          03-12-2025 13:58:14      03-12-2025 14:42:44   
